Occupation,Employment level - November 2021 ('000),Projected employment level - November 2026 ('000),Projected employment growth - five years to November 2026 ('000),Projected employment growth - five years to November 2026 (%),,
"Design, Engineering, Science and Transport Professionals",471.9,529.3,57.4,12.2,,
Air and Marine Transport Professionals,24.3,28.7,4.4,18.1,,
Air Transport Professionals,12.5,16.5,3.9,31.4,,
Marine Transport Professionals,12.2,12.7,0.5,3.8,,
Air and Marine Transport Professionals nfd,0.1,0.1,0.0,0.0,,
"Architects, Designers, Planners and Surveyors",153.7,185.2,31.5,20.5,,
Architects and Landscape Architects,26.4,30.8,4.4,16.8,,
Surveyors and Spatial Scientists,14.7,16.8,2.1,14.6,,
"Fashion, Industrial and Jewellery Designers",13.8,17.7,3.9,28.4,,
"Graphic and Web Designers, and Illustrators",64.1,78.1,13.9,21.7,,
Interior Designers,22.8,27.2,4.3,19.1,,
Urban and Regional Planners,13.6,16.2,2.5,18.6,,
"Architects, Designers, Planners and Surveyors nfd",1.5,1.7,0.2,16.8,,
Engineering Professionals,174.7,193.1,18.3,10.5,,
Chemical and Materials Engineers,7.0,7.6,0.5,7.7,,
Civil Engineering Professionals,64.9,73.6,8.7,13.4,,
Electrical Engineers,27.9,30.5,2.6,9.5,,
Electronics Engineers,4.3,4.4,0.1,2.2,,
"Industrial, Mechanical and Production Engineers",27.3,28.8,1.5,5.5,,
Mining Engineers,16.1,18.8,2.8,17.1,,
Other Engineering Professionals,13.3,14.4,1.1,8.4,,
Engineering Professionals nfd,9.7,10.7,1.0,10.1,,
Natural and Physical Science Professionals,118.1,121.3,3.1,2.7,,
Agricultural and Forestry Scientists,8.5,8.6,0.1,1.6,,
"Chemists, and Food and Wine Scientists",14.9,15.0,0.1,0.4,,
Environmental Scientists,24.1,23.6,-0.5,-2.1,,
"Geologists, Geophysicists and Hydrogeologists",9.2,8.4,-0.8,-8.2,,
Life Scientists,11.8,12.1,0.4,3.4,,
Medical Laboratory Scientists,26.9,28.4,1.5,5.6,,
Veterinarians,9.6,11.4,1.9,19.7,,
Other Natural and Physical Science Professionals,10.9,11.3,0.4,3.5,,
Natural and Physical Science Professionals nfd,3.8,3.8,0.0,1.0,,
"Design, Engineering, Science and Transport Professionals nfd",0.1,0.1,0.0,12.2,,
